C.D.S.  -  SIMBAD4 rel 1.8  -  2022.05.11CEST19:55:18

(Vmag <    6 | Bmag <  6 | Rmag <  6) & cat = '*' &
(pm <    0 | pm    > 0) &
(plx    > 0 | plx <    0) &
(radvel    > 0 | radvel <    0)
--------------------------------------------------------------------------------------------------------------------------------------------

Number of objects : 3017

 #  ;            identifier             ;typ;     coord1 (ICRS,J2000/2000)      ;         pm         ;   plx    ;  radvel   ;  Mag B  ;  Mag V  ;  Mag R  
2361;* phi Cyg                          ;SB*;294.8441913018500 +30.1533214664600;   1.520 35.883     ;12.7786   ;4.50       ;5.642    ;4.673    ;     ~   
2362;* 9 Cyg                            ;SB*;293.7122015756500 +29.4629677877300;  14.908 14.425     ;5.3741    ;-20.09     ;5.96     ;5.407    ;     ~   
2363;* 15 Vul                           ;a2*;300.2752019104 +27.7535733011      ;     58.17 3.84     ;13.80     ;-26.10     ;4.829    ;4.651    ;     ~   
2364;* 21 Vul                           ;dS*;303.5605397225999 +28.6948171728600; 12.541 -19.117     ;10.4302   ;7.00       ;5.365    ;5.189    ;     ~   
2365;* 18 Vul                           ;SB*;302.6397383065800 +26.9041679647800;  18.674 12.599     ;6.9886    ;-11.70     ;5.586    ;5.507    ;     ~   
2366;* 19 Vul                           ;*  ;302.9498915333699 +26.8089910881300;  1.480 -10.248     ;2.0171    ;-19.33     ;6.879    ;5.487    ;     ~   
2367;* 23 Vul                           ;** ;303.9422633180000 +27.8141988933600; -39.938 12.121     ;9.9642    ;-2.18      ;5.78     ;4.52     ;3.56     
2368;* 27 Vul                           ;*  ;309.2694684103700 +26.4619462191400; 15.349 -11.775     ;10.6692   ;-21.80     ;5.528    ;5.583    ;     ~   
2369;* 30 Vul                           ;SB*;311.2188031298100 +25.2706298731800;-38.328 -185.535    ;8.6255    ;30.00      ;6.10     ;4.91     ;4.06     
2370;* psi Boo                          ;PM*;226.1114289982400 +26.9476483177300;-174.718 -5.036     ;12.6144   ;-25.84     ;5.78     ;4.55     ;3.62     
2371;* b Boo                            ;SB*;227.0990962501200 +26.3011541087900;  3.855 -15.726     ;6.6798    ;20.14      ;6.921    ;5.669    ;     ~   
2372;NAME Nusakan                       ;a2*;231.9572147104 +29.1057006597      ;  -180.17 85.92     ;29.17     ;-26.90     ;3.97     ;3.68     ;3.50     
2373;* nu.01 CrB                        ;V* ;245.5892701386000 +33.7990522305200;  4.756 -38.223     ;5.0245    ;-13.17     ;6.80     ;5.20     ;     ~   
2374;* nu.02 CrB                        ;PM*;245.6217430093299 +33.7034790802200;  -5.537 49.931     ;5.7163    ;-41.50     ;6.92     ;5.39     ;     ~   
2375;* d Her                            ;*  ;255.4015054040700 +33.5682684653200;    2.863 0.258     ;10.0848   ;-12.4      ;5.288    ;5.267    ;     ~   
2376;* kap Lyr                          ;V* ;274.9654545183 +36.0645469656      ;   -16.75 41.09     ;12.96     ;-24.36     ;5.51     ;4.34     ;3.48     
2377;NAME Sheliak                       ;EB*;282.5199801967 +33.3626694383      ;     1.90 -3.53     ;3.39      ;2.20       ;3.42     ;3.42     ;3.31     
2378;* chi Cyg                          ;S* ;297.6413516267 +32.9140582453      ;  -20.16 -38.34     ;5.53      ;1.60       ;6.06     ;4.24     ;1.81     
2379;* 41 Cyg                           ;V* ;307.3488983833 +30.3685546603      ;     6.89 -0.87     ;4.24      ;-18.21     ;4.42     ;4.01     ;3.65     
2380;* 32 Vul                           ;V* ;313.6401632302300 +28.0576236929100;  -3.665 -1.154     ;5.3203    ;5.53       ;6.49     ;5.01     ;     ~   
2381;* 31 Vul                           ;SB*;313.0320425313600 +27.0969441985600;-76.611 -56.516     ;14.7064   ;0.47       ;5.399    ;4.568    ;     ~   
2382;* omi CrB                          ;PM*;230.0356610434200 +29.6162070173000;-117.972 -42.922    ;11.9113   ;-53.747    ;6.53     ;5.51     ;     ~   
2383;* chi Boo                          ;PM*;228.6214947808500 +29.1642963732500; -69.512 28.662     ;13.3668   ;-16.00     ;5.326    ;5.272    ;     ~   
2384;* eta CrB                          ;SB*;230.80127231 +30.28782502          ; 116.83 -171.37     ;55.98     ;-7.26      ;5.56     ;4.98     ;4.50     
2385;* tet CrB                          ;Be*;233.23242560 +31.35913227          ;   -20.15 -9.39     ;8.69      ;-25.70     ;4.00     ;4.13     ;4.18     
2386;* pi. CrB                          ;*  ;235.9970805821000 +32.5158059151400; -30.287 -9.363     ;12.5965   ;-4.94      ;6.648    ;5.575    ;     ~   
2387;* rho CrB                          ;PM*;240.2610853714212 +33.3035109645436;-198.278 -772.245   ;57.1076   ;17.991     ;6.01     ;     ~   ;5.0      
2388;* c Her                            ;** ;257.0085903716899 +35.9351886711000;-22.732 -20.110     ;18.2039   ;-31.50     ;5.70     ;5.39     ;     ~   
2389;* pi. Her                          ;V* ;258.7618098475 +36.8091623167      ;    -27.29 2.82     ;8.66      ;-25.57     ;4.61     ;3.18     ;2.22     
2390;* e Her                            ;PM*;259.4177216585500 +37.2915062875800; -38.796 58.493     ;18.6546   ;-9.90      ;4.70     ;4.65     ;4.56     
2391;* rho Her A                        ;** ;260.9205607021299 +37.1459240266500;  -39.617 3.554     ;9.9491    ;-21.0      ;4.476    ;4.510    ;     ~   
2392;* rho Her B                        ;*  ;260.9196540814400 +37.1467847100800;  -39.960 7.346     ;8.9108    ;-19.3      ;5.395    ;5.398    ;     ~   
2393;* tet Her                          ;V* ;269.0632522675 +37.2505373197      ;      2.67 6.47     ;4.33      ;-28.32     ;5.23     ;3.88     ;2.98     
2394;* zet01 Lyr                        ;SB*;281.1931556396 +37.6051158481      ;    29.04 27.03     ;20.89     ;-24.90     ;4.55     ;4.36     ;4.21     
2395;* zet02 Lyr                        ;*  ;281.2008299447800 +37.5945995951600;  23.969 23.461     ;20.6386   ;-25.00     ;5.871    ;5.585    ;     ~   
2396;NAME Vega                          ;dS*;279.23473479 +38.78368896          ;  200.94 286.23     ;130.23    ;-20.60     ;0.03     ;0.03     ;0.07     
2397;* del01 Lyr                        ;SB*;283.4314964369700 +36.9717187898800;   1.404 -2.884     ;2.8133    ;-25.8      ;5.425    ;5.573    ;     ~   
2398;* del02 Lyr                        ;LP*;283.6261806258 +36.8986148142      ;     -7.36 4.06     ;4.43      ;-25.55     ;5.97     ;4.30     ;2.52     
2399;* iot Lyr                          ;Be*;286.8255513620700 +36.1001590179100;  -1.287 -4.693     ;3.3932    ;-26.00     ;5.137    ;5.253    ;     ~   
2400;* 4 Cyg                            ;a2*;291.5380288645200 +36.3178978187100;   4.497 13.514     ;5.7765    ;-22.0      ;5.03     ;5.15     ;     ~   
2401;* 8 Cyg                            ;*  ;292.9430076608 +34.4529687342      ;     1.16 -3.47     ;3.79      ;-21.20     ;4.60     ;4.72     ;     ~   
2402;* 17 Cyg                           ;PM*;296.6066668696129 +33.7275982037880;22.745 -448.311     ;47.6516   ;4.275      ;5.46     ;     ~   ;4.7      
2403;* eta Cyg                          ;*  ;299.0765509262 +35.0834229886      ;  -33.61 -27.87     ;24.17     ;-25.87     ;4.910    ;3.880    ;3.19     
2404;* 39 Cyg                           ;SB*;305.9650862454 +32.1901719714      ;    35.84 -5.83     ;13.05     ;-17.18     ;5.77     ;4.44     ;3.43     
2405;* 52 Cyg                           ;*  ;311.4156376663 +30.7197154383      ;    -8.98 24.11     ;16.22     ;-0.58      ;5.29     ;4.23     ;3.46     
2406;* del Boo                          ;PM*;228.8756789658 +33.3148312661      ;  84.74 -111.58     ;26.78     ;-12.29     ;4.44     ;3.49     ;2.76     
2407;* 50 Boo                           ;PM*;230.4523963080400 +32.9336939369600; -48.580 13.647     ;12.0865   ;-9.00      ;5.312    ;5.372    ;     ~   
2408;* kap CrB                          ;PM*;237.8080470598467 +35.6573815808772;-8.669 -348.350     ;33.3433   ;-24.996    ;5.82     ;4.82     ;4.06     
2409;* tau CrB                          ;PM*;242.2429538510379 +36.4908705687333;-59.431 332.280     ;29.0217   ;-20.30     ;5.75     ;4.73     ;4.01     
2410;* 25 Her                           ;** ;246.3507034261600 +37.3940518970200;  4.366 -16.526     ;13.1903   ;-1.30      ;5.710    ;5.540    ;     ~   
2411;* eta Her                          ;PM*;250.7240212279 +38.9222535744      ;   35.41 -85.30     ;30.02     ;8.325      ;4.42     ;3.50     ;2.83     
2412;* f Her                            ;PM*;268.3251130590600 +40.0079614730500;   7.426 50.451     ;8.747     ;-35.76     ;6.35     ;5.15     ;     ~   
2413;NAME Alathfar                      ;*  ;276.0574401157300 +39.5072381075400; -21.558 -5.091     ;7.5624    ;-24.0      ;5.14     ;5.12     ;     ~   
2414;* eps01 Lyr A                      ;PM*;281.0847656093200 +39.6701291681900;  13.900 62.391     ;20.6911   ;-31.0      ;5.111    ;4.991    ;     ~   
2415;* eps01 Lyr                        ;** ;281.08477455 +39.67012591          ;    11.09 61.39     ;20.09     ;-31.20     ;4.82     ;4.66     ;     ~   
2416;* eps02 Lyr                        ;** ;281.09491902 +39.61271808          ;     6.18 50.42     ;20.97     ;-24.40     ;5.43     ;5.23     ;5.93     
2417;* eps02 Lyr A                      ;** ;281.0949125486900 +39.6127146026100;   7.207 49.009     ;20.3393   ;-24.2      ;5.40     ;5.23     ;     ~   
2418;* eps02 Lyr B                      ;PM*;281.0957644236399 +39.6127947724000;   4.371 65.844     ;20.4544   ;-28        ;5.58     ;5.35     ;     ~   
2419;NAME Aladfar                       ;SB*;288.4395346796 +39.1459666919      ;    -0.60 -1.26     ;2.35      ;-8.1       ;4.243    ;4.398    ;     ~   
2420;* tet Lyr                          ;*  ;289.0920619700 +38.1337287342      ;     -0.80 0.36     ;3.92      ;-27.42     ;5.64     ;4.38     ;3.51     
2421;* 11 Cyg                           ;Be*;293.9512680652300 +36.9445407427100;   4.001 -1.408     ;5.3123    ;-15.00     ;5.939    ;6.034    ;     ~   
2422;* 19 Cyg                           ;LP*;297.6416477124800 +38.7224180923200; 11.629 105.208     ;4.571     ;-38.89     ;6.81     ;5.12     ;     ~   
2423;* 15 Cyg                           ;PM*;296.0691883399700 +37.3543561508400;  72.665 35.379     ;11.0494   ;-23.75     ;5.830    ;4.887    ;     ~   
2424;* 25 Cyg                           ;Be*;299.9799808107100 +37.0428854613600;   0.930 -0.226     ;2.443     ;-14.60     ;5.02     ;5.19     ;     ~   
2425;* b03 Cyg                          ;dS*;303.6334681420099 +36.8063058080900;  68.090 69.404     ;24.5456   ;-17.3      ;5.11     ;4.99     ;4.79     
2426;* b01 Cyg                          ;RS*;301.5906970720503 +35.9724691993453;-224.924 -440.162   ;41.6804   ;-33.031    ;6.21     ;     ~   ;4.8      
2427;* b02 Cyg                          ;Be*;302.3567460879700 +36.8396205440000;   2.739 13.168     ;3.8921    ;-13.6      ;4.80     ;4.93     ;     ~   
2428;* 35 Cyg                           ;SB*;304.6627999701400 +34.9827705521400;  -2.802 -4.292     ;0.974     ;-20.20     ;5.803    ;5.162    ;     ~   
2429;* 47 Cyg                           ;SB*;308.4757837156300 +35.2508441796800;  -3.612 -4.166     ;0.8792    ;-4.63      ;6.145    ;4.636    ;     ~   
2430;NAME Aljanah                       ;** ;311.5528431704 +33.9702569239      ;  355.66 330.60     ;44.86     ;-12.599    ;3.520    ;2.480    ;1.73     
2431;* 49 Cyg                           ;** ;310.2605925629399 +32.3072885222800;  3.150 -11.184     ;3.6839    ;-25.84     ;6.672    ;5.638    ;     ~   
2432;NAME Alkalurops                    ;** ;231.1226311187300 +37.3771559226800;-149.928 89.573     ;26.5759   ;-8.60      ;     ~   ;     ~   ;4.1      
2433;* lam CrB                          ;PM*;238.9482803457599 +37.9469569268800;  29.460 79.199     ;23.7741   ;-11.60     ;5.770    ;5.424    ;     ~   
2434;* g Her                            ;AB*;247.1606191046 +41.8816779425      ;    30.16 -5.14     ;9.21      ;1.49       ;6.53     ;5.01     ;2.49     
2435;* sig Her                          ;** ;248.5257601102700 +42.4370094863000; -15.384 44.260     ;10.856    ;-10.90     ;4.177    ;4.196    ;6.02     
2436;* 13 Lyr                           ;LP*;283.8337592854 +43.9460920803      ;    21.05 82.06     ;10.94     ;-27.15     ;5.59     ;4.00     ;1.95     
2437;* 22 Cyg                           ;SB*;298.9656704715900 +38.4867191233900;   3.676 -2.695     ;2.5612    ;-30.1      ;4.846    ;4.946    ;     ~   
2438;* P Cyg                            ;s*b;304.4466753517 +38.0329313122      ;    -3.18 -6.45     ;0.32      ;-8.90      ;5.24     ;4.82     ;4.28     
2439;* 36 Cyg                           ;*  ;304.6193967396799 +36.9998042138600;  40.228 20.979     ;16.7248   ;-8.00      ;5.64     ;5.58     ;     ~   
2440;* 40 Cyg                           ;PM*;306.8927460268500 +38.4403506616500;-28.342 -68.976     ;12.1      ;0.4        ;5.68     ;5.62     ;     ~   
2441;* 42 Cyg                           ;pA*;307.3349589398699 +36.4547271461400;   2.143 -2.223     ;0.857     ;-18.0      ;6.291    ;5.899    ;     ~   
2442;* lam Cyg                          ;** ;311.85224026 +36.49071491          ;    14.71 -8.96     ;4.24      ;-23.20     ;4.43     ;4.54     ;4.58     
2443;* h02 Pup                          ;SB*;123.5122057034400 -40.3478671389700; 38.196 -70.153     ;10.489    ;13.5       ;5.61     ;4.44     ;3.60     
2444;NAME Hadir                         ;SB*;112.3076270487 -43.3014332394      ;  -59.55 188.31     ;16.84     ;87.30      ;4.77     ;3.25     ;2.04     
2445;* M Pup                            ;*  ;109.5177055023800 -43.9867857875500;  -9.483 -5.396     ;5.1842    ;13.00      ;5.727    ;5.839    ;     ~   
2446;* L01 Pup                          ;a2*;108.3056275022800 -45.1827375993700;-25.166 -87.380     ;17.3622   ;4.3        ;4.855    ;4.874    ;     ~   
2447;* L02 Pup                          ;AB*;108.3846605984317 -44.6397088588789;106.757 323.164     ;17.7906   ;53.00      ;6.66     ;5.10     ;2.49     
2448;* X Pup                            ;PM*;102.4775681014583 -46.6145615862706; -0.932 373.786     ;39.6665   ;20.85      ;5.59     ;5.14     ;     ~   
2449;* del Cae                          ;*  ;067.7087489082400 -44.9537499010700;   1.683 -3.139     ;4.7826    ;14.20      ;4.864    ;5.059    ;     ~   
2450;* del Hor                          ;** ;062.7107886408 -41.9935704858      ;   199.08 70.18     ;18.24     ;38.30      ;5.26     ;4.93     ;4.58     
2451;* alf Hor                          ;PM*;063.5004759275692 -42.2943685430919;41.992 -203.157     ;27.7210   ;21.749     ;4.96     ;3.86     ;3.00     
2452;* y Eri                            ;*  ;054.2736584858100 -40.2746603362000; -12.532 -9.929     ;13.2285   ;11.50      ;5.62     ;4.58     ;3.74     
2453;* k01 Vel                          ;** ;138.7382130571900 -37.6024293617500;   4.028 -5.627     ;5.1875    ;5.46       ;6.676    ;5.850    ;     ~   
2454;* l Vel                            ;PM*;138.9029505760700 -38.5699429610100;-71.038 -10.227     ;14.1358   ;1.62       ;6.05     ;4.94     ;4.15     
2455;* k Vel                            ;*  ;138.9378323607500 -37.4131438565900;  13.859 -7.738     ;20.2065   ;12.41      ;5.07     ;4.62     ;4.24     
2456;* h Vel                            ;*  ;132.4131621086200 -40.3201577653600;  -9.293 -1.012     ;2.6706    ;16.9       ;5.530    ;5.465    ;     ~   
2457;* e Vel                            ;*  ;129.4109699183 -42.9890804014      ;    -10.75 9.66     ;1.79      ;19.30      ;4.24     ;4.14     ;3.98     
2458;* O Pup                            ;*  ;119.4654964997700 -45.5776690591700; -16.683 30.084     ;11.2254   ;50.8       ;6.389    ;5.123    ;     ~   
2459;* N Pup                            ;*  ;119.3267566946 -44.1098592114      ;    -11.05 6.72     ;2.98      ;15.8       ;4.899    ;5.064    ;     ~   
2460;* Q Pup                            ;PM*;117.0840017738 -47.0777218167      ; -101.85 -78.08     ;14.04     ;-0.02      ;5.77     ;4.71     ;3.95     
2461;* P Pup                            ;** ;117.3095639908 -46.3732061678      ;     -4.37 8.66     ;1.98      ;24.0       ;3.93     ;4.11     ;4.19     
2462;* I Pup                            ;a2*;108.1401040633 -46.7593041422      ; -136.17 107.12     ;46.67     ;0.10       ;4.81     ;4.49     ;4.17     
2463;* V Pup                            ;V* ;099.6568155600500 -48.2201836746300;   4.003 19.658     ;6.6547    ;28.77      ;6.02     ;5.03     ;     ~   
2464;* G Pup                            ;** ;096.43188785 -48.17689908          ;   -2.73 -20.54     ;5.55      ;10.80      ;5.70     ;5.76     ;     ~   
2465;* eta01 Pic                        ;PM*;075.7028586382400 -49.1514063498400; -43.985 27.519     ;38.0941   ;21.4       ;5.796    ;5.372    ;     ~   
2466;* eta02 Pic                        ;PM*;076.2417258395400 -49.5778340902800;  68.621 -2.210     ;7.327     ;36.55      ;6.47     ;5.01     ;3.81     
2467;* psi For                          ;PM*;043.3933203215500 -38.4370012594200;  58.249 35.140     ;17.6681   ;28.58      ;6.359    ;5.926    ;     ~   
2468;* w Vel                            ;SB*;135.0225377212 -41.2536052556      ;   -40.08 54.59     ;15.50     ;-6.5       ;5.088    ;4.446    ;     ~   
2469;* d Vel                            ;*  ;131.0997794755900 -42.6492774576200; -23.778 19.524     ;14.0387   ;-1.84      ;4.917    ;4.046    ;     ~   
2470;* gam01 Vel                        ;SB*;122.3721564041000 -47.3452815034200;   -6.243 9.475     ;2.6052    ;20.0       ;3.995    ;4.173    ;     ~   
2471;NAME Regor                         ;WR*;122.38312556 -47.33658633          ;    -6.07 10.43     ;2.92      ;15.00      ;1.58     ;1.83     ;1.85     
2472;* J Pup                            ;*  ;118.3256579988 -48.1029343544      ;     -5.60 5.76     ;1.97      ;41.00      ;4.10     ;4.24     ;4.26     
